"Категория интересов, ур. 1","Категория интересов, ур. 2","Категория интересов, ур. 3","Визиты","Посетители","Аффинити‑индекс","Отказы","Глубина просмотра","Время на сайте"
"Красота и здоровье","Декоративная косметика","Декоративная косметика для губ","4","4","54.81334688846144","1.0","1.0","00:00:00"
"Красота и здоровье","Декоративная косметика","Декоративная косметика для ногтей","4","4","63.132679304596095","1.0","1.0","00:00:00"
"Красота и здоровье","Парфюмерия","Женская парфюмерия","4","4","47.690133330044176","1.0","1.0","00:00:00"
"Бизнес","Франчайзинг","Не определено","4","4","153.62829456942663","1.0","1.0","00:00:00"
"Одежда, обувь и аксессуары","Одежда, обувь и аксессуары премиум-класса","Не определено","4","3","46.92417576721174","1.0","1.0","00:00:00"
"Одежда, обувь и аксессуары","Одежда","Женская одежда","4","3","36.87615069569399","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Мебель","Мебель для спальни","4","4","100.34780594964343","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Мебель","Мягкая мебель","4","4","130.88860779273364","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Мебель","Мебель для прихожей","4","4","120.84763253922466","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Мебель","Мебель для кухни","4","4","141.266067738906","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Мебель","Мебель для гостиной","4","4","114.10591653252207","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Мебель","Мебель для офиса и кабинета","4","4","63.10630943386377","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Ремонт","Окна","4","4","128.19720475728099","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Дача и сад","Садовая техника","4","4","120.41722773332246","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Дача и сад","Растения и семена","4","4","128.66614319111608","1.0","1.0","00:00:00"
"Финансы","Рефинансирование кредитов","Не определено","4","4","82.61419346373688","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Документальные фильмы","4","4","91.09224812748627","1.0","1.0","00:00:00"
"Развлечения и досуг","Музыка","Музыкальные инструменты","4","1","305.70953482168557","1.0","1.0","00:00:00"
"Животные","Кошки","Не определено","4","4","109.29769140201405","1.0","1.0","00:00:00"
"Недвижимость","Аренда недвижимости","Посуточная аренда загородной недвижимости","4","4","295.3566539317097","0.75","1.25","00:04:41"
"Отдых и путешествия","Детский отдых","Не определено","4","4","55.36553744513421","0.75","1.25","00:00:01"
"Отдых и путешествия","Отдых в Америке","Не определено","4","4","106.4100025700369","1.0","1.0","00:00:00"
"Отдых и путешествия","Автовокзалы","Не определено","4","4","72.93084867445472","1.0","1.0","00:00:00"
"Канцелярские товары","Не определено","Не определено","3","2","109.14354661857959","1.0","1.0","00:00:00"
"Красота и здоровье","Уход за телом","Не определено","3","3","134.56356064238503","1.0","1.0","00:00:00"
"Красота и здоровье","Уход за волосами","Уход после мытья волос","3","3","55.60062478649965","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Мебель","Шкафы","3","3","145.4323200831479","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Ремонт","Сайдинг и фасадные панели","3","3","284.4468118696473","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Ремонт","Кровля и водосток","3","3","107.15385243400077","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Ремонт","Обои","3","3","141.42306661630536","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Системы «Умный дом»","Не определено","3","2","194.37912785120596","1.0","1.0","00:00:00"
"Образование","Обучение за рубежом","Не определено","3","3","95.27986904625963","1.0","1.0","00:00:00"
"Электроника","Мобильные телефоны и смартфоны","Не определено","3","3","48.66450521974861","0.6666666666666665","2.6666666666666665","00:00:32"
"Электроника","Компьютерная техника","Планшеты","3","3","94.09704497058726","0.6666666666666665","2.6666666666666665","00:00:32"
"Электроника","Клавиатуры и манипуляторы","Не определено","3","3","185.7722493605109","1.0","1.0","00:00:00"
"Финансы","Форекс","Не определено","3","2","195.92954188349822","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Мюзиклы","3","3","67.48464392039078","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Исторические фильмы","3","3","69.49719488941405","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Триллеры","3","3","46.969529886906436","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Ужасы","3","3","58.685014010392464","1.0","1.0","00:00:00"
"Развлечения и досуг","Кино","Приключения","3","3","52.316119603801475","1.0","1.0","00:00:00"
"Недвижимость","Аренда недвижимости","Долгосрочная аренда квартир и комнат","3","3","57.70954314382177","1.0","1.0","00:00:00"
"Отдых и путешествия","Прокат автомобилей","Не определено","3","3","172.86258736138288","1.0","1.0","00:00:00"
"Отдых и путешествия","Отдых в Африке","Не определено","3","3","80.33102807892085","1.0","1.0","00:00:00"
"Отдых и путешествия","Горнолыжный отдых","Не определено","3","3","128.9335493306618","1.0","1.0","00:00:00"
"Спорт","Стрельба","Не определено","3","3","195.73466913409712","1.0","1.0","00:00:00"
"Транспорт","Мото","Не определено","3","3","94.95509535083897","1.0","1.0","00:00:00"
"Транспорт","Мото","Скутеры","3","3","326.525180422111","1.0","1.0","00:00:00"
"Подарки и цветы","Не определено","Не определено","2","2","58.0774511023443","1.0","1.0","00:00:00"
"Подарки и цветы","Цветы","Не определено","2","2","103.13623920880504","1.0","1.0","00:00:00"
"Бытовая техника","Техника для красоты и здоровья","Не определено","2","2","151.40194585746474","1.0","1.0","00:00:00"
"Бытовая техника","Техника для красоты и здоровья","Приборы для укладки волос","2","2","205.31477850886577","1.0","1.0","00:00:00"
"Бытовая техника","Мелкая техника для кухни","Кофеварки и кофемашины","2","2","111.45643060072673","1.0","1.0","00:00:00"
"Красота и здоровье","Уход за волосами","Не определено","2","2","88.3676761750806","1.0","1.0","00:00:00"
"Красота и здоровье","Уход за волосами","Окрашивание волос","2","2","203.93071907411624","1.0","1.0","00:00:00"
"Красота и здоровье","Медицинские товары","Не определено","2","2","22.992307224401145","1.0","1.0","00:00:00"
"Красота и здоровье","Парфюмерия","Не определено","2","2","37.93138027489933","1.0","1.0","00:00:00"
"Одежда, обувь и аксессуары","Аксессуары","Не определено","2","2","46.880893085287006","1.0","1.0","00:00:00"
"Одежда, обувь и аксессуары","Одежда","Детская одежда","2","2","43.63595272081943","1.0","1.0","00:00:00"
"Одежда, обувь и аксессуары","Обувь","Не определено","2","2","38.438041424876225","1.0","1.0","00:00:00"
"Одежда, обувь и аксессуары","Обувь","Детская обувь","2","2","31.128417047568586","1.0","1.0","00:00:00"
"Одежда, обувь и аксессуары","Обувь","Женская обувь","2","2","93.79804283827872","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Мебель","Стулья","2","2","88.80953626180246","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Мебель","Матрасы","2","2","88.5903666807868","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Ремонт","Двери","2","2","70.41012012615693","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Ремонт","Напольные покрытия","2","2","141.86257511654128","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Ремонт","Сантехника","2","2","62.033561805297666","1.0","1.0","00:00:00"
"Строительство, обустройство и ремонт","Дача и сад","Садовый инвентарь","2","2","63.87221971801979","1.0","1.0","00:00:00"
"Электроника","Аудио- и видеотехника","Наушники","2","2","69.44007029966065","1.0","1.0","00:00:00"
"Электроника","Аудио- и видеотехника","Портативная аудиотехника","2","2","272.07361921121293","1.0","1.0","00:00:00"
"Электроника","Компьютерная техника","Ноутбуки","2","2","100.20260091457455","1.0","1.0","00:00:00"
"Работа","Работа за рубежом","Не определено","2","1","361.0801569602285","1.0","1.0","00:00:00"
"Животные","Птицы","Не определено","2","2","294.2661358574273","1.0","1.0","00:00:00"
"Недвижимость","Коммерческая недвижимость","Не определено","2","2","50.24053305231465","1.0","1.0","00:00:00"
"Отдых и путешествия","Отдых в Австралии и Океании","Не определено","2","2","80.30963737878884","1.0","1.0","00:00:00"
"Спорт","Баскетбол","Не определено","2","2","19.335279183897168","1.0","1.0","00:00:00"
"Спорт","Единоборства","Не определено","2","2","147.7318657147689","1.0","1.0","00:00:00"
